extension,size (MB),count
.abcd,2e-05,1
.aiff,0.101814,1
.csv,17.562307,4
.docx,0.097953,6
.flac,0.211733,1
.gif,4.33271,6
.heic,0.22459,2
.heif,0.22459,2
.html,0.503157,3
.jpeg,0.0088,1
.jpg,3.949606,5
.json,2.098336,3
.mp3,0.045261,2
.mp4,0.110016,1
.msg,0.5632,4
.ogg,0.065814,1
.pdf,1.627953,11
.png,17.004074,7
.pptx,100.475886,8
.py,0.328377,3
.rtf,0.309288,3
.tif,6.11365,5
.tiff,0.093494,4
.txt,0.330503,25
.wav,0.477484,1
.xlsx,0.177368,6
.xml,0.013525,3
.xyz,1.7e-05,1
.zip,0.192784,4
