,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Message,Error,Encoding,Num Lines,Num Words,Original Format,Mode,Width,Height,Animated,Frames,Num Functions,Num Classes,Num Rows,Num Cols,Num Cells,Empty Cells
12,C:\Users\BLUO\AppData\Local\Temp\a0b1ca5d-1658-4d19-8673-693110a29eee.tmp,a0b1ca5d-1658-4d19-8673-693110a29eee.tmp,.tmp,0.507962,2024-01-17 12:58:46,2024-01-17 12:58:46,2024-01-17 12:57:39,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\a0b1ca5d-1658-4d19-8673-693110a29eee.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
13,C:\Users\BLUO\AppData\Local\Temp\AdobeARM.log,AdobeARM.log,.log,0.065142,2024-01-17 16:39:02,2024-01-17 16:39:16,2024-01-02 14:24:49,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\AdobeARM.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
14,C:\Users\BLUO\AppData\Local\Temp\AlertsIcons.heic,AlertsIcons.heic,.heic,0.0,2024-01-11 12:33:30,2024-01-11 12:33:30,2024-01-11 12:33:30,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\AlertsIcons.heic,,FileProcessingFailedError,,,,,,,,,,,,,,,
15,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db,bc3902d8132f43e3ae086a009979fa88.db,.db,0.024576,2024-01-16 12:33:28,2024-01-17 19:01:47,2024-01-05 16:27:50,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
16,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db-shm,bc3902d8132f43e3ae086a009979fa88.db-shm,.db-shm,0.032768,2024-01-17 12:57:30,2024-01-17 19:00:42,2024-01-16 12:33:43,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db-shm,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
17,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db-wal,bc3902d8132f43e3ae086a009979fa88.db-wal,.db-wal,0.185432,2024-01-17 19:00:41,2024-01-17 19:01:47,2024-01-16 12:33:43,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db-wal,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
18,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db.ses,bc3902d8132f43e3ae086a009979fa88.db.ses,.ses,5.3e-05,2024-01-05 16:27:50,2024-01-17 19:00:41,2024-01-05 16:27:50,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\bc3902d8132f43e3ae086a009979fa88.db.ses,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
19,C:\Users\BLUO\AppData\Local\Temp\BCG3B00.tmp,BCG3B00.tmp,.tmp,0.01347,2024-01-17 12:57:31,2024-01-17 12:57:31,2024-01-17 12:57:31,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\BCG3B00.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
20,C:\Users\BLUO\AppData\Local\Temp\CFGAA25.tmp,CFGAA25.tmp,.tmp,0.00015,2024-01-12 20:41:42,2024-01-12 20:41:44,2024-01-12 20:41:42,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\CFGAA25.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
21,C:\Users\BLUO\AppData\Local\Temp\CitrixAutoUpdate.log,CitrixAutoUpdate.log,.log,0.024797,2024-01-12 16:30:00,2024-01-17 13:05:30,2024-01-02 14:17:52,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\CitrixAutoUpdate.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
22,C:\Users\BLUO\AppData\Local\Temp\cv_debug.log,cv_debug.log,.log,0.025024,2024-01-17 18:57:25,2024-01-17 18:57:34,2023-12-20 17:00:53,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\cv_debug.log,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
23,C:\Users\BLUO\AppData\Local\Temp\d93500bf-f9aa-4747-b488-ee556409ff46.tmp,d93500bf-f9aa-4747-b488-ee556409ff46.tmp,.tmp,3.949445,2024-01-17 18:23:24,2024-01-17 19:42:58,2024-01-17 18:23:14,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\d93500bf-f9aa-4747-b488-ee556409ff46.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
24,C:\Users\BLUO\AppData\Local\Temp\e12137bd-334f-4487-95f1-600cde5aacaa.tmp,e12137bd-334f-4487-95f1-600cde5aacaa.tmp,.tmp,0.469522,2024-01-17 13:00:51,2024-01-17 19:23:55,2024-01-17 12:59:45,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\e12137bd-334f-4487-95f1-600cde5aacaa.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
25,C:\Users\BLUO\AppData\Local\Temp\eca65f44-493f-4dd7-b7d1-20ce0e81925d.tmp,eca65f44-493f-4dd7-b7d1-20ce0e81925d.tmp,.tmp,2.458226,2024-01-17 19:27:57,2024-01-17 19:35:10,2024-01-17 19:26:49,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\eca65f44-493f-4dd7-b7d1-20ce0e81925d.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
26,C:\Users\BLUO\AppData\Local\Temp\ee991628-ccba-423d-9db9-98152812cd0e.tmp,ee991628-ccba-423d-9db9-98152812cd0e.tmp,.tmp,7.94625,2024-01-17 19:30:04,2024-01-17 19:42:15,2024-01-17 12:59:42,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\ee991628-ccba-423d-9db9-98152812cd0e.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
27,C:\Users\BLUO\AppData\Local\Temp\ExchangePerflog_8484fa315c910373cfcccd43.dat,ExchangePerflog_8484fa315c910373cfcccd43.dat,.dat,4.194332,2024-01-12 15:57:06,2024-01-12 15:57:20,2024-01-02 14:29:01,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\ExchangePerflog_8484fa315c910373cfcccd43.dat,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
