,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Metadata
10,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.docx,HealthCanadaOverviewFromWikipedia.docx,.docx,0.011001,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.docx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'has_password': False}"
11,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.pptx,HealthCanadaOverviewFromWikipedia.pptx,.pptx,0.037021,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.pptx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'num_slides': 4, 'has_password': False}"
12,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.docx,HealthCanadaOverviewFromWikipedia_corrupted.docx,.docx,0.011001,2024-01-15 15:33:59,2024-01-17 19:32:00,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.docx,{'error': 'FileCorruptionError'}
13,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.pptx,HealthCanadaOverviewFromWikipedia_corrupted.pptx,.pptx,0.037021,2024-01-15 15:33:59,2024-01-17 19:32:00,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.pptx,{'error': 'FileCorruptionError'}
14,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,HealthCanadaOverviewFromWikipedia_Locked.docx,.docx,0.019456,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,"{'author': None, 'last_modified_by': None, 'has_password': True}"
15,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.pptx,HealthCanadaOverviewFromWikipedia_Locked.pptx,.pptx,0.047104,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.pptx,"{'author': None, 'last_modified_by': None, 'num_slides': None, 'has_password': True}"
16,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.docx,SampleReport.docx,.docx,0.013999,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.docx,"{'author': 'Second Test Author', 'last_modified_by': 'last_modified_by Test Author', 'has_password': False}"
17,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.pptx,SampleReport.pptx,.pptx,0.047541,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.pptx,"{'author': 'Second Test Author', 'last_modified_by': 'last_modified_by Test Author', 'num_slides': 5, 'has_password': False}"
18,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.docx,SampleReport_Locked.docx,.docx,0.02304,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.docx,"{'author': None, 'last_modified_by': None, 'has_password': True}"
19,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.pptx,SampleReport_Locked.pptx,.pptx,0.058368,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.pptx,"{'author': None, 'last_modified_by': None, 'num_slides': None, 'has_password': True}"
20,C:\Users\BLUO\Downloads\report\tests\resources\test_files\StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,.xlsx,0.04608,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,"{'active_sheet': None, 'sheet_names': None, 'data': None, 'last_modified_by': None, 'creator': None, 'has_password': True}"
21,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file.xlsx,Test_excel_file.xlsx,.xlsx,0.011885,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file.xlsx,"{'active_sheet': 'Sheet3', 'sheet_names': ['Sheet1', 'Sheet2', 'Sheet3'], 'data': {'Sheet1': [(1, 2, 3, None, None), ('a', 'b', 'c', None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (4, None, None, None, None), ('d', None, None, None, None), (None, None, None, None, 't')], 'Sheet2': [(None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, 'h')], 'Sheet3': [(None, None, None, None, None, None, None), ('Column1', 'Column2', 'Column3', 'Column4', 'Column5', 'Column6', 'Column7'), (234, 423, 2, 3, 98, 7890, 9876), (5, 6, 7, 8, 9, 5, None), (None, 9876, 98, 6, 879, None, None), (98769, None, None, 8976, None, None, 8796), (None, None, 7, 79, 897, None, 879), (None, 87, 987, 7, 7, None, 8), (None, 65, 6565, None, None, 5, 55), (None, None, None, None, None, None, 675), (None, None, 655656, None, None, 56, None), (656565, None, None, None, None, 56, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), ('antidisestablishmentarianism', None, None, None, None, None, None)]}, 'last_modified_by': 'Burnett, Taylen (HC/SC)', 'creator': 'Burnett, Taylen (HC/SC)', 'has_password': False}"
22,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_corrupted.xlsx,Test_excel_file_corrupted.xlsx,.xlsx,0.011885,2024-01-15 15:34:00,2024-01-17 19:32:01,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_corrupted.xlsx,{'error': 'FileCorruptionError'}
23,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_Locked.xlsx,Test_excel_file_Locked.xlsx,.xlsx,0.018432,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_Locked.xlsx,"{'active_sheet': None, 'sheet_names': None, 'data': None, 'last_modified_by': None, 'creator': None, 'has_password': True}"
